,0
0,0
1,0
2,0
3,0
4,0.0167
5,0.0167
6,0.0333
7,0.05
8,0.0667
9,0.0833
10,0.0876
11,0.1
12,0.1167
13,0.1333
14,0.15
15,0.1667
16,0.1833
17,0.1833
18,0.2
19,0.2167
20,0.2333
21,0.25
22,0.2545
23,0.2667
24,0.2833
25,0.3
26,0.3167
27,0.3333
28,0.3489
29,0.35
30,0.3667
31,0.3833
32,0.4
33,0.4167
34,0.4214
35,0.4333
36,0.45
37,0.45
38,0.4667
39,0.4833
40,0.5
41,0.5152
42,0.5167
43,0.5333
44,0.55
45,0.5667
46,0.5833
47,0.5833
48,0.6
49,0.6146
50,0.6167
51,0.6333
52,0.65
53,0.6667
54,0.6775
55,0.6833
56,0.7
57,0.7167
58,0.7333
59,0.75
60,0.7521
61,0.7667
62,0.7795
63,0.7833
64,0.8
65,0.8167
66,0.8333
67,0.8478
68,0.85
69,0.8667
70,0.8833
71,0.9
72,0.9153
73,0.9167
74,0.9333
75,0.9472
76,0.95
77,0.9667
78,0.9833
79,1
80,1
81,1
